settlement_batch_id,payment_id,gross_amount,fee_amount,tax_amount,adjustment_amount,net_contribution
SET_1003,PAY_029,593.50,11.8700,2.1366,0.0000,579.4934
SET_1003,PAY_030,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1004,PAY_031,627.50,12.5500,2.2590,0.0000,612.6910
SET_1004,PAY_032,644.50,12.8900,2.3202,0.0000,629.2898
SET_1004,PAY_033,661.50,13.2300,2.3814,0.0000,645.8886
SET_1004,PAY_034,678.50,13.5700,2.4426,0.0000,662.4874
SET_1004,PAY_035,695.50,13.9100,2.5038,0.0000,679.0862
SET_1004,PAY_036,712.50,14.2500,2.5650,0.0000,695.6850
SET_1004,PAY_037,729.50,14.5900,2.6262,0.0000,712.2838
SET_1004,PAY_038,746.50,14.9300,2.6874,0.0000,728.8826
SET_1004,PAY_039,763.50,15.2700,2.7486,0.0000,745.4814
SET_1004,PAY_040,780.50,0.0000,0.0000,780.50,0.0000
SET_1005,PAY_041,797.50,15.9500,2.8710,0.0000,778.6790
SET_1005,PAY_042,814.50,16.2900,2.9322,0.0000,795.2778
SET_1005,PAY_043,831.50,16.6300,2.9934,0.0000,811.8766
SET_1005,PAY_044,848.50,16.9700,3.0546,0.0000,828.4754
SET_1005,PAY_045,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1005,PAY_046,882.50,17.6500,3.1770,0.0000,861.6730
SET_1005,PAY_047,899.50,17.9900,3.2382,0.0000,878.2718
SET_1005,PAY_048,916.50,18.3300,3.2994,0.0000,894.8706
SET_1005,PAY_049,933.50,18.6700,3.3606,0.0000,911.4694
SET_1005,PAY_050,950.50,19.0100,3.4218,0.0000,928.0682
SET_1006,PAY_051,967.50,19.3500,3.4830,0.0000,2222.2000
SET_1006,PAY_052,984.50,19.6900,3.5442,0.0000,2222.2000
SET_1006,PAY_053,1001.50,20.0300,3.6054,0.0000,2222.2000
SET_1006,PAY_054,1018.50,20.3700,3.6666,0.0000,2222.2000
SET_1006,PAY_055,1035.50,20.7100,3.7278,0.0000,2222.2000
SET_1006,PAY_056,1052.50,21.0500,3.7890,0.0000,2222.2000
SET_1006,PAY_057,1069.50,21.3900,3.8502,0.0000,2222.2000
SET_1006,PAY_058,1086.50,21.7300,3.9114,0.0000,2222.2000
SET_1006,PAY_059,1103.50,22.0700,3.9726,0.0000,2222.2000
SET_1006,PAY_060,15000.00,0.0000,0.0000,15000.00,2222.2000
SET_1007,PAY_061,1137.50,22.7500,4.0950,607.0000,503.6550
SET_1007,PAY_062,1154.50,23.0900,4.1562,0.0000,1127.2538
SET_1007,PAY_063,1171.50,23.4300,4.2174,0.0000,1143.8526
SET_1007,PAY_064,1188.50,23.7700,4.2786,0.0000,1160.4514
SET_1007,PAY_065,1205.50,24.1100,4.3398,0.0000,1177.0502
SET_1007,PAY_066,1222.50,24.4500,4.4010,0.0000,1193.6490
SET_1007,PAY_067,1239.50,24.7900,4.4622,0.0000,1210.2478
SET_1007,PAY_068,1256.50,25.1300,4.5234,0.0000,1226.8466
SET_1007,PAY_069,1273.50,25.4700,4.5846,0.0000,1243.4454
SET_1007,PAY_070,1290.50,25.8100,4.6458,0.0000,1260.0442
SET_1008,PAY_071,1307.50,26.1500,4.7070,0.0000,1276.6430
SET_1008,PAY_072,1324.50,26.4900,4.7682,0.0000,1293.2418
SET_1008,PAY_073,1341.50,26.8300,4.8294,0.0000,1309.8406
SET_1008,PAY_074,1358.50,27.1700,4.8906,0.0000,1326.4394
SET_1008,PAY_075,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1008,PAY_076,1392.50,27.8500,5.0130,0.0000,1359.6370
SET_1008,PAY_077,1409.50,28.1900,5.0742,0.0000,1376.2358
SET_1008,PAY_078,1426.50,28.5300,5.1354,0.0000,1392.8346
SET_1008,PAY_079,1443.50,28.8700,5.1966,0.0000,1409.4334
SET_1008,PAY_080,1460.50,0.0000,0.0000,1460.50,0.0000
SET_1009,PAY_081,1477.50,29.5500,5.3190,120.0000,1322.6310
SET_1009,PAY_082,1494.50,29.8900,5.3802,0.0000,1459.2298
SET_1009,PAY_083,1511.50,30.2300,5.4414,0.0000,1475.8286
SET_1009,PAY_084,1528.50,30.5700,5.5026,0.0000,1492.4274
SET_1009,PAY_085,1545.50,30.9100,5.5638,0.0000,1509.0262
SET_1009,PAY_086,1562.50,31.2500,5.6250,0.0000,1525.6250
SET_1009,PAY_087,1579.50,31.5900,5.6862,0.0000,1542.2238
SET_1009,PAY_088,1596.50,31.9300,5.7474,0.0000,1558.8226
SET_1009,PAY_089,1613.50,32.2700,5.8086,0.0000,1575.4214
SET_1009,PAY_090,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1010,PAY_091,1647.50,32.9500,5.9310,0.0000,1608.6190
SET_1010,PAY_092,1664.50,33.2900,5.9922,0.0000,1625.2178
SET_1010,PAY_093,1681.50,33.6300,6.0534,0.0000,1641.8166
SET_1010,PAY_094,1698.50,33.9700,6.1146,0.0000,1658.4154
SET_1010,PAY_095,1715.50,34.3100,6.1758,0.0000,1675.0142
SET_1010,PAY_096,1732.50,34.6500,6.2370,0.0000,1691.6130
SET_1010,PAY_097,1749.50,34.9900,6.2982,0.0000,1708.2118
SET_1010,PAY_098,1766.50,35.3300,6.3594,0.0000,1724.8106
SET_1010,PAY_099,1783.50,35.6700,6.4206,0.0000,1741.4094
SET_1010,PAY_100,1800.50,0.0000,0.0000,1800.50,0.0000
SET_1011,PAY_101,1817.50,36.3500,6.5430,0.0000,1774.6070
SET_1011,PAY_102,1834.50,36.6900,6.6042,0.0000,1791.2058
SET_1011,PAY_103,1851.50,37.0300,6.6654,0.0000,1807.8046
SET_1011,PAY_104,1868.50,37.3700,6.7266,0.0000,1824.4034
SET_1011,PAY_105,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1011,PAY_106,1902.50,38.0500,6.8490,0.0000,1857.6010
SET_1011,PAY_107,1919.50,38.3900,6.9102,0.0000,1874.1998
SET_1011,PAY_108,1936.50,38.7300,6.9714,0.0000,1890.7986
SET_1011,PAY_109,1953.50,39.0700,7.0326,0.0000,1907.3974
SET_1011,PAY_110,1970.50,39.4100,7.0938,0.0000,1923.9962
SET_1012,PAY_111,1987.50,39.7500,7.1550,0.0000,1940.5950
SET_1012,PAY_112,2004.50,40.0900,7.2162,0.0000,1957.1938
SET_1012,PAY_113,2021.50,40.4300,7.2774,0.0000,1973.7926
SET_1012,PAY_114,2038.50,40.7700,7.3386,0.0000,1990.3914
SET_1012,PAY_115,2055.50,41.1100,7.3998,0.0000,2006.9902
SET_1012,PAY_116,2072.50,41.4500,7.4610,0.0000,2023.5890
SET_1012,PAY_117,2089.50,41.7900,7.5222,0.0000,2040.1878
SET_1012,PAY_118,2106.50,42.1300,7.5834,0.0000,2056.7866
SET_1012,PAY_119,2123.50,42.4700,7.6446,0.0000,2073.3854
SET_1012,PAY_120,15000.00,0.0000,0.0000,15000.00,0.0000
SET_1013,PAY_121,2157.50,43.1500,7.7670,0.0000,2106.5830
SET_1013,PAY_122,2174.50,43.4900,7.8282,0.0000,2123.1818
SET_1013,PAY_123,2191.50,43.8300,7.8894,0.0000,2139.7806
SET_1013,PAY_124,2208.50,44.1700,7.9506,0.0000,2156.3794
SET_1013,PAY_125,2225.50,44.5100,8.0118,0.0000,2172.9782
SET_1013,PAY_126,2242.50,44.8500,8.0730,0.0000,2189.5770
SET_1013,PAY_127,2259.50,45.1900,8.1342,0.0000,2206.1758
SET_1013,PAY_128,2276.50,45.5300,8.1954,0.0000,2222.7746
SET_1013,PAY_129,2293.50,45.8700,8.2566,0.0000,2239.3734
SET_1013,PAY_130,2310.50,46.2100,8.3178,0.0000,2255.9722
SET_1014,PAY_131,2327.50,46.5500,8.3790,1708.2000,2222.2000
SET_1014,PAY_132,2344.50,46.8900,8.4402,0.0000,2222.2000
SET_1014,PAY_133,2361.50,47.2300,8.5014,0.0000,2222.2000
SET_1014,PAY_134,2378.50,47.5700,8.5626,0.0000,2222.2000
SET_1014,PAY_135,15000.00,300.0000,54.0000,0.0000,2222.2000
SET_1014,PAY_136,2412.50,48.2500,8.6850,0.0000,2222.2000
SET_1014,PAY_137,2429.50,48.5900,8.7462,0.0000,2222.2000
SET_1014,PAY_138,2446.50,48.9300,8.8074,0.0000,2222.2000
SET_1014,PAY_139,2463.50,49.2700,8.8686,0.0000,2222.2000
SET_1014,PAY_140,2480.50,0.0000,0.0000,2480.50,2222.2000
SET_1015,PAY_141,2497.50,49.9500,8.9910,0.0000,2438.5590
SET_1015,PAY_142,2514.50,50.2900,9.0522,0.0000,2455.1578
SET_1015,PAY_143,2531.50,50.6300,9.1134,0.0000,2471.7566
SET_1015,PAY_144,2548.50,50.9700,9.1746,0.0000,2488.3554
SET_1015,PAY_145,2565.50,51.3100,9.2358,0.0000,2504.9542
SET_1015,PAY_146,2582.50,51.6500,9.2970,0.0000,2521.5530
SET_1015,PAY_147,2599.50,51.9900,9.3582,0.0000,2538.1518
SET_1015,PAY_148,2616.50,52.3300,9.4194,0.0000,2554.7506
SET_1015,PAY_149,2633.50,52.6700,9.4806,0.0000,2571.3494
SET_1015,PAY_150,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1016,PAY_151,2667.50,53.3500,9.6030,0.0000,2604.5470
SET_1016,PAY_152,2684.50,53.6900,9.6642,0.0000,2621.1458
SET_1016,PAY_153,2701.50,54.0300,9.7254,0.0000,2637.7446
SET_1016,PAY_154,2718.50,54.3700,9.7866,0.0000,2654.3434
SET_1016,PAY_155,2735.50,54.7100,9.8478,0.0000,2670.9422
SET_1016,PAY_156,2752.50,55.0500,9.9090,0.0000,2687.5410
SET_1016,PAY_157,2769.50,55.3900,9.9702,0.0000,2704.1398
SET_1016,PAY_158,2786.50,55.7300,10.0314,0.0000,2720.7386
SET_1016,PAY_159,2803.50,56.0700,10.0926,0.0000,2737.3374
SET_1016,PAY_160,2820.50,0.0000,0.0000,2820.50,0.0000
SET_1017,PAY_161,2837.50,56.7500,10.2150,0.0000,2770.5350
SET_1017,PAY_162,2854.50,57.0900,10.2762,0.0000,2787.1338
SET_1017,PAY_163,2871.50,57.4300,10.3374,0.0000,2803.7326
SET_1017,PAY_164,2888.50,57.7700,10.3986,0.0000,2820.3314
SET_1017,PAY_165,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1017,PAY_166,2922.50,58.4500,10.5210,0.0000,2853.5290
SET_1017,PAY_167,2939.50,58.7900,10.5822,0.0000,2870.1278
SET_1017,PAY_168,2956.50,59.1300,10.6434,0.0000,2886.7266
SET_1017,PAY_169,2973.50,59.4700,10.7046,0.0000,2903.3254
SET_1017,PAY_170,2990.50,59.8100,10.7658,0.0000,2919.9242
SET_1018,PAY_171,3007.50,60.1500,10.8270,120.0000,2816.5230
SET_1018,PAY_172,3024.50,60.4900,10.8882,0.0000,2953.1218
SET_1018,PAY_173,3041.50,60.8300,10.9494,0.0000,2969.7206
SET_1018,PAY_174,3058.50,61.1700,11.0106,0.0000,2986.3194
SET_1018,PAY_175,3075.50,61.5100,11.0718,0.0000,3002.9182
SET_1018,PAY_176,3092.50,61.8500,11.1330,0.0000,3019.5170
SET_1018,PAY_177,3109.50,62.1900,11.1942,0.0000,3036.1158
SET_1018,PAY_178,3126.50,62.5300,11.2554,0.0000,3052.7146
SET_1018,PAY_179,3143.50,62.8700,11.3166,0.0000,3069.3134
SET_1018,PAY_180,15000.00,0.0000,0.0000,15000.00,0.0000
SET_1019,PAY_181,3177.50,63.5500,11.4390,0.0000,3102.5110
SET_1019,PAY_182,3194.50,63.8900,11.5002,0.0000,3119.1098
SET_1019,PAY_183,3211.50,64.2300,11.5614,0.0000,3135.7086
SET_1019,PAY_184,3228.50,64.5700,11.6226,0.0000,3152.3074
SET_1019,PAY_185,3245.50,64.9100,11.6838,0.0000,3168.9062
SET_1019,PAY_186,3262.50,65.2500,11.7450,0.0000,3185.5050
SET_1019,PAY_187,3279.50,65.5900,11.8062,0.0000,3202.1038
SET_1019,PAY_188,3296.50,65.9300,11.8674,0.0000,3218.7026
SET_1019,PAY_189,3313.50,66.2700,11.9286,0.0000,3235.3014
SET_1019,PAY_190,3330.50,66.6100,11.9898,0.0000,3251.9002
SET_1020,PAY_191,3347.50,66.9500,12.0510,0.0000,3268.4990
SET_1020,PAY_192,3364.50,67.2900,12.1122,0.0000,3285.0978
SET_1020,PAY_193,3381.50,67.6300,12.1734,0.0000,3301.6966
SET_1020,PAY_194,3398.50,67.9700,12.2346,0.0000,3318.2954
SET_1020,PAY_195,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1020,PAY_196,3432.50,68.6500,12.3570,0.0000,3351.4930
SET_1020,PAY_197,3449.50,68.9900,12.4182,0.0000,3368.0918
SET_1020,PAY_198,3466.50,69.3300,12.4794,0.0000,3384.6906
SET_1020,PAY_199,3483.50,69.6700,12.5406,0.0000,3401.2894
SET_1020,PAY_200,3500.50,0.0000,0.0000,3500.50,0.0000
SET_1021,PAY_201,3517.50,70.3500,12.6630,2363.4750,1071.0120
SET_1021,PAY_202,3534.50,70.6900,12.7242,0.0000,3451.0858
SET_1021,PAY_203,3551.50,71.0300,12.7854,0.0000,3467.6846
SET_1021,PAY_204,3568.50,71.3700,12.8466,0.0000,3484.2834
SET_1021,PAY_205,3585.50,71.7100,12.9078,0.0000,3500.8822
SET_1021,PAY_206,3602.50,72.0500,12.9690,0.0000,3517.4810
SET_1021,PAY_207,3619.50,72.3900,13.0302,0.0000,3534.0798
SET_1021,PAY_208,3636.50,72.7300,13.0914,0.0000,3550.6786
SET_1021,PAY_209,3653.50,73.0700,13.1526,0.0000,3567.2774
SET_1021,PAY_210,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1022,PAY_211,3687.50,73.7500,13.2750,0.0000,3600.4750
SET_1022,PAY_212,3704.50,74.0900,13.3362,0.0000,3617.0738
SET_1022,PAY_213,3721.50,74.4300,13.3974,0.0000,3633.6726
SET_1022,PAY_214,3738.50,74.7700,13.4586,0.0000,3650.2714
SET_1022,PAY_215,3755.50,75.1100,13.5198,0.0000,3666.8702
SET_1022,PAY_216,3772.50,75.4500,13.5810,0.0000,3683.4690
SET_1022,PAY_217,3789.50,75.7900,13.6422,0.0000,3700.0678
SET_1022,PAY_218,3806.50,76.1300,13.7034,0.0000,3716.6666
SET_1022,PAY_219,3823.50,76.4700,13.7646,0.0000,3733.2654
SET_1022,PAY_220,3840.50,0.0000,0.0000,3840.50,0.0000
SET_1023,PAY_221,3857.50,77.1500,13.8870,0.0000,3766.4630
SET_1023,PAY_222,3874.50,77.4900,13.9482,0.0000,3783.0618
SET_1023,PAY_223,3891.50,77.8300,14.0094,0.0000,3799.6606
SET_1023,PAY_224,3908.50,78.1700,14.0706,0.0000,3816.2594
SET_1023,PAY_225,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1023,PAY_226,3942.50,78.8500,14.1930,0.0000,3849.4570
SET_1023,PAY_227,3959.50,79.1900,14.2542,0.0000,3866.0558
SET_1023,PAY_228,3976.50,79.5300,14.3154,0.0000,3882.6546
SET_1023,PAY_229,3993.50,79.8700,14.3766,0.0000,3899.2534
SET_1023,PAY_230,4010.50,80.2100,14.4378,0.0000,3915.8522
SET_1024,PAY_231,4027.50,80.5500,14.4990,0.0000,3932.4510
SET_1024,PAY_232,4044.50,80.8900,14.5602,0.0000,3949.0498
SET_1024,PAY_233,4061.50,81.2300,14.6214,0.0000,3965.6486
SET_1024,PAY_234,4078.50,81.5700,14.6826,0.0000,3982.2474
SET_1024,PAY_235,4095.50,81.9100,14.7438,0.0000,3998.8462
SET_1024,PAY_236,4112.50,82.2500,14.8050,0.0000,4015.4450
SET_1024,PAY_237,4129.50,82.5900,14.8662,0.0000,4032.0438
SET_1024,PAY_238,4146.50,82.9300,14.9274,0.0000,4048.6426
SET_1024,PAY_239,4163.50,83.2700,14.9886,0.0000,4065.2414
SET_1024,PAY_240,15000.00,0.0000,0.0000,15000.00,0.0000
SET_1025,PAY_241,4197.50,83.9500,15.1110,0.0000,4098.4390
SET_1025,PAY_242,4214.50,84.2900,15.1722,0.0000,4115.0378
SET_1025,PAY_243,4231.50,84.6300,15.2334,0.0000,4131.6366
SET_1025,PAY_244,4248.50,84.9700,15.2946,0.0000,4148.2354
SET_1025,PAY_245,4265.50,85.3100,15.3558,0.0000,4164.8342
SET_1025,PAY_246,4282.50,85.6500,15.4170,0.0000,4181.4330
SET_1025,PAY_247,4299.50,85.9900,15.4782,0.0000,4198.0318
SET_1025,PAY_248,4316.50,86.3300,15.5394,0.0000,4214.6306
SET_1025,PAY_249,4333.50,86.6700,15.6006,0.0000,4231.2294
SET_1025,PAY_250,4350.50,87.0100,15.6618,0.0000,4247.8282
SET_1026,PAY_251,4367.50,87.3500,15.7230,0.0000,4264.4270
SET_1026,PAY_252,4384.50,87.6900,15.7842,0.0000,4281.0258
SET_1026,PAY_253,4401.50,88.0300,15.8454,0.0000,4297.6246
SET_1026,PAY_254,4418.50,88.3700,15.9066,0.0000,4314.2234
SET_1026,PAY_255,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1026,PAY_256,4452.50,89.0500,16.0290,0.0000,4347.4210
SET_1026,PAY_257,4469.50,89.3900,16.0902,0.0000,4364.0198
SET_1026,PAY_258,4486.50,89.7300,16.1514,0.0000,4380.6186
SET_1026,PAY_259,4503.50,90.0700,16.2126,0.0000,4397.2174
SET_1026,PAY_260,4520.50,0.0000,0.0000,4520.50,0.0000
SET_1027,PAY_261,4537.50,90.7500,16.3350,120.0000,4310.4150
SET_1027,PAY_262,4554.50,91.0900,16.3962,0.0000,4447.0138
SET_1027,PAY_263,4571.50,91.4300,16.4574,0.0000,4463.6126
SET_1027,PAY_264,4588.50,91.7700,16.5186,0.0000,4480.2114
SET_1027,PAY_265,4605.50,92.1100,16.5798,0.0000,4496.8102
SET_1027,PAY_266,4622.50,92.4500,16.6410,0.0000,4513.4090
SET_1027,PAY_267,4639.50,92.7900,16.7022,0.0000,4530.0078
SET_1027,PAY_268,4656.50,93.1300,16.7634,0.0000,4546.6066
SET_1027,PAY_269,4673.50,93.4700,16.8246,0.0000,4563.2054
SET_1027,PAY_270,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1028,PAY_271,4707.50,94.1500,16.9470,2148.9750,2447.4280
SET_1028,PAY_272,4724.50,94.4900,17.0082,0.0000,4613.0018
SET_1028,PAY_273,4741.50,94.8300,17.0694,0.0000,4629.6006
SET_1028,PAY_274,4758.50,95.1700,17.1306,0.0000,4646.1994
SET_1028,PAY_275,4775.50,95.5100,17.1918,0.0000,4662.7982
SET_1028,PAY_276,4792.50,95.8500,17.2530,0.0000,4679.3970
SET_1028,PAY_277,4809.50,96.1900,17.3142,0.0000,4695.9958
SET_1028,PAY_278,4826.50,96.5300,17.3754,0.0000,4712.5946
SET_1028,PAY_279,4843.50,96.8700,17.4366,0.0000,4729.1934
SET_1028,PAY_280,4860.50,0.0000,0.0000,4860.50,0.0000
SET_1029,PAY_281,4877.50,97.5500,17.5590,0.0000,4762.3910
SET_1029,PAY_282,4894.50,97.8900,17.6202,0.0000,4778.9898
SET_1029,PAY_283,4911.50,98.2300,17.6814,0.0000,4795.5886
SET_1029,PAY_284,4928.50,98.5700,17.7426,0.0000,4812.1874
SET_1029,PAY_285,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1029,PAY_286,4962.50,99.2500,17.8650,0.0000,4845.3850
SET_1029,PAY_287,4979.50,99.5900,17.9262,0.0000,4861.9838
SET_1029,PAY_288,4996.50,99.9300,17.9874,0.0000,4878.5826
SET_1029,PAY_289,113.50,2.2700,0.4086,0.0000,110.8214
SET_1029,PAY_290,130.50,2.6100,0.4698,0.0000,127.4202
SET_1030,PAY_291,147.50,2.9500,0.5310,0.0000,144.0190
SET_1030,PAY_292,164.50,3.2900,0.5922,0.0000,160.6178
SET_1030,PAY_293,181.50,3.6300,0.6534,0.0000,177.2166
SET_1030,PAY_294,198.50,3.9700,0.7146,0.0000,193.8154
SET_1030,PAY_295,215.50,4.3100,0.7758,0.0000,210.4142
SET_1030,PAY_296,232.50,4.6500,0.8370,0.0000,227.0130
SET_1030,PAY_297,249.50,4.9900,0.8982,0.0000,243.6118
SET_1030,PAY_298,266.50,5.3300,0.9594,0.0000,260.2106
SET_1030,PAY_299,283.50,5.6700,1.0206,0.0000,276.8094
SET_1030,PAY_300,15000.00,0.0000,0.0000,15000.00,0.0000
SET_1031,PAY_301,317.50,6.3500,1.1430,0.0000,310.0070
SET_1031,PAY_302,334.50,6.6900,1.2042,0.0000,326.6058
SET_1031,PAY_303,351.50,7.0300,1.2654,0.0000,343.2046
SET_1031,PAY_304,368.50,7.3700,1.3266,0.0000,359.8034
SET_1031,PAY_305,385.50,7.7100,1.3878,0.0000,376.4022
SET_1031,PAY_306,402.50,8.0500,1.4490,0.0000,393.0010
SET_1031,PAY_307,419.50,8.3900,1.5102,0.0000,409.5998
SET_1031,PAY_308,436.50,8.7300,1.5714,0.0000,426.1986
SET_1031,PAY_309,453.50,9.0700,1.6326,0.0000,442.7974
SET_1031,PAY_310,470.50,9.4100,1.6938,0.0000,459.3962
SET_1032,PAY_311,487.50,9.7500,1.7550,0.0000,475.9950
SET_1032,PAY_312,504.50,10.0900,1.8162,0.0000,492.5938
SET_1032,PAY_313,521.50,10.4300,1.8774,0.0000,509.1926
SET_1032,PAY_314,538.50,10.7700,1.9386,0.0000,525.7914
SET_1032,PAY_315,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1032,PAY_316,572.50,11.4500,2.0610,0.0000,558.9890
SET_1032,PAY_317,589.50,11.7900,2.1222,0.0000,575.5878
SET_1032,PAY_318,606.50,12.1300,2.1834,0.0000,592.1866
SET_1032,PAY_319,623.50,12.4700,2.2446,0.0000,608.7854
SET_1032,PAY_320,640.50,0.0000,0.0000,640.50,0.0000
SET_1033,PAY_321,657.50,13.1500,2.3670,0.0000,641.9830
SET_1033,PAY_322,674.50,13.4900,2.4282,0.0000,658.5818
SET_1033,PAY_323,691.50,13.8300,2.4894,0.0000,675.1806
SET_1033,PAY_324,708.50,14.1700,2.5506,0.0000,691.7794
SET_1033,PAY_325,725.50,14.5100,2.6118,0.0000,708.3782
SET_1033,PAY_326,742.50,14.8500,2.6730,0.0000,724.9770
SET_1033,PAY_327,759.50,15.1900,2.7342,0.0000,741.5758
SET_1033,PAY_328,776.50,15.5300,2.7954,0.0000,758.1746
SET_1033,PAY_329,793.50,15.8700,2.8566,0.0000,774.7734
SET_1033,PAY_330,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1034,PAY_331,827.50,16.5500,2.9790,0.0000,807.9710
SET_1034,PAY_332,844.50,16.8900,3.0402,0.0000,824.5698
SET_1034,PAY_333,861.50,17.2300,3.1014,0.0000,841.1686
SET_1034,PAY_334,878.50,17.5700,3.1626,0.0000,857.7674
SET_1034,PAY_335,895.50,17.9100,3.2238,0.0000,874.3662
SET_1034,PAY_336,912.50,18.2500,3.2850,0.0000,890.9650
SET_1034,PAY_337,929.50,18.5900,3.3462,0.0000,907.5638
SET_1034,PAY_338,946.50,18.9300,3.4074,0.0000,924.1626
SET_1034,PAY_339,963.50,19.2700,3.4686,0.0000,940.7614
SET_1034,PAY_340,980.50,0.0000,0.0000,980.50,0.0000
SET_1035,PAY_341,997.50,19.9500,3.5910,1233.7250,-259.7660
SET_1035,PAY_342,1014.50,20.2900,3.6522,0.0000,990.5578
SET_1035,PAY_343,1031.50,20.6300,3.7134,0.0000,1007.1566
SET_1035,PAY_344,1048.50,20.9700,3.7746,0.0000,1023.7554
SET_1035,PAY_345,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1035,PAY_346,1082.50,21.6500,3.8970,0.0000,1056.9530
SET_1035,PAY_347,1099.50,21.9900,3.9582,0.0000,1073.5518
SET_1035,PAY_348,1116.50,22.3300,4.0194,0.0000,1090.1506
SET_1035,PAY_349,1133.50,22.6700,4.0806,0.0000,1106.7494
SET_1035,PAY_350,1150.50,23.0100,4.1418,0.0000,1123.3482
SET_1036,PAY_351,1167.50,23.3500,4.2030,120.0000,1019.9470
SET_1036,PAY_352,1184.50,23.6900,4.2642,0.0000,1156.5458
SET_1036,PAY_353,1201.50,24.0300,4.3254,0.0000,1173.1446
SET_1036,PAY_354,1218.50,24.3700,4.3866,0.0000,1189.7434
SET_1036,PAY_355,1235.50,24.7100,4.4478,0.0000,1206.3422
SET_1036,PAY_356,1252.50,25.0500,4.5090,0.0000,1222.9410
SET_1036,PAY_357,1269.50,25.3900,4.5702,0.0000,1239.5398
SET_1036,PAY_358,1286.50,25.7300,4.6314,0.0000,1256.1386
SET_1036,PAY_359,1303.50,26.0700,4.6926,0.0000,1272.7374
SET_1036,PAY_360,15000.00,0.0000,0.0000,15000.00,0.0000
SET_1037,PAY_361,1337.50,26.7500,4.8150,0.0000,1305.9350
SET_1037,PAY_362,1354.50,27.0900,4.8762,0.0000,1322.5338
SET_1037,PAY_363,1371.50,27.4300,4.9374,0.0000,1339.1326
SET_1037,PAY_364,1388.50,27.7700,4.9986,0.0000,1355.7314
SET_1037,PAY_365,1405.50,28.1100,5.0598,0.0000,1372.3302
SET_1037,PAY_366,1422.50,28.4500,5.1210,0.0000,1388.9290
SET_1037,PAY_367,1439.50,28.7900,5.1822,0.0000,1405.5278
SET_1037,PAY_368,1456.50,29.1300,5.2434,0.0000,1422.1266
SET_1037,PAY_369,1473.50,29.4700,5.3046,0.0000,1438.7254
SET_1037,PAY_370,1490.50,29.8100,5.3658,0.0000,1455.3242
SET_1038,PAY_371,1507.50,30.1500,5.4270,0.0000,1471.9230
