settlement_id,merchant_id,gross_amount,gateway_fee,fee_tax,refunds,adjustments,reserves,net_amount,settlement_date,expected_credit_date,status,utr
SET_1013,MER_RAZORPAY_01,22340.0000,446.8000,80.4240,0.0000,0.0000,0.0000,21812.7760,2026-08-16,2026-08-18,PENDING,UTR_888013X
SET_1014,MER_RAZORPAY_01,34164.0000,683.2800,122.9904,2480.5000,0.0000,1708.2000,22222.0000,2026-08-17,2026-08-19,PENDING,UTR_888014X
SET_1015,MER_RAZORPAY_01,38089.5000,761.7900,137.1222,0.0000,0.0000,0.0000,37190.5878,2026-08-18,2026-08-20,PENDING,UTR_888015X
SET_1016,MER_RAZORPAY_01,24619.5000,492.3900,88.6302,2820.5000,0.0000,0.0000,21217.9798,2026-08-19,2026-08-21,PENDING,UTR_888016X
SET_1017,MER_RAZORPAY_01,41234.5000,824.6900,148.4442,0.0000,0.0000,0.0000,40261.3658,2026-08-20,2026-08-22,PENDING,UTR_888017X
SET_1018,MER_RAZORPAY_01,27679.5000,553.5900,99.6462,15000.0000,120.0000,0.0000,12006.2638,2026-08-21,2026-08-23,PENDING,UTR_888018X
SET_1019,MER_RAZORPAY_01,32540.0000,650.8000,117.1440,0.0000,0.0000,0.0000,31772.0560,2026-08-22,2026-08-24,PENDING,UTR_888019X
SET_1020,MER_RAZORPAY_01,42324.0000,846.4800,152.3664,3500.5000,0.0000,0.0000,37824.6536,2026-08-23,2026-08-25,PENDING,UTR_888020X
SET_1021,MER_RAZORPAY_01,47269.5000,945.3900,170.1702,0.0000,0.0000,2363.4750,43790.4648,2026-08-24,2026-08-26,PENDING,UTR_888021X
SET_1022,MER_RAZORPAY_01,33799.5000,675.9900,121.6782,3840.5000,0.0000,0.0000,29161.3318,2026-08-25,2026-08-27,PENDING,UTR_888022X
SET_1023,MER_RAZORPAY_01,50414.5000,1008.2900,181.4922,0.0000,0.0000,0.0000,49224.7178,2026-08-26,2026-08-28,PENDING,UTR_888023X
SET_1024,MER_RAZORPAY_01,36859.5000,737.1900,132.6942,15000.0000,0.0000,0.0000,20989.6158,2026-08-27,2026-08-29,PENDING,UTR_888024X
SET_1025,MER_RAZORPAY_01,42740.0000,854.8000,153.8640,0.0000,0.0000,0.0000,41731.3360,2026-08-28,2026-08-30,PENDING,UTR_888025X
SET_1026,MER_RAZORPAY_01,50484.0000,1009.6800,181.7424,4520.5000,0.0000,0.0000,44872.0776,2026-08-29,2026-08-31,PENDING,UTR_888026X
SET_1027,MER_RAZORPAY_01,56449.5000,1128.9900,203.2182,0.0000,120.0000,0.0000,54997.2918,2026-08-30,2026-09-01,PENDING,UTR_888027X
SET_1028,MER_RAZORPAY_01,42979.5000,859.5900,154.7262,4860.5000,0.0000,2148.9750,34955.7088,2026-08-31,2026-09-02,PENDING,UTR_888028X
SET_1029,MER_RAZORPAY_01,49794.5000,995.8900,179.2602,0.0000,0.0000,0.0000,48619.3498,2026-09-01,2026-09-03,PENDING,UTR_888029X
SET_1030,MER_RAZORPAY_01,1939.5000,38.7900,6.9822,15000.0000,0.0000,0.0000,-13106.2722,2026-09-02,2026-09-04,PENDING,UTR_888030X
SET_1031,MER_RAZORPAY_01,3940.0000,78.8000,14.1840,0.0000,0.0000,0.0000,3847.0160,2026-09-03,2026-09-05,PENDING,UTR_888031X
SET_1032,MER_RAZORPAY_01,19444.0000,388.8800,69.9984,640.5000,0.0000,0.0000,18344.6216,2026-09-04,2026-09-06,PENDING,UTR_888032X
SET_1033,MER_RAZORPAY_01,21529.5000,430.5900,77.5062,0.0000,0.0000,0.0000,21021.4038,2026-09-05,2026-09-07,PENDING,UTR_888033X
SET_1034,MER_RAZORPAY_01,8059.5000,161.1900,29.0142,980.5000,0.0000,0.0000,6988.7958,2026-09-06,2026-09-08,PENDING,UTR_888034X
SET_1035,MER_RAZORPAY_01,24674.5000,493.4900,88.8282,0.0000,0.0000,1233.7250,22858.4568,2026-09-07,2026-09-09,PENDING,UTR_888035X
SET_1036,MER_RAZORPAY_01,11119.5000,222.3900,40.0302,15000.0000,120.0000,0.0000,-4262.9202,2026-09-08,2026-09-10,PENDING,UTR_888036X
SET_1037,MER_RAZORPAY_01,14140.0000,282.8000,50.9040,0.0000,0.0000,0.0000,13806.2960,2026-09-09,2026-09-11,PENDING,UTR_888037X
SET_1038,MER_RAZORPAY_01,27604.0000,552.0800,99.3744,1660.5000,0.0000,0.0000,25292.0456,2026-09-10,2026-09-12,PENDING,UTR_888038X
SET_1039,MER_RAZORPAY_01,30709.5000,614.1900,110.5542,0.0000,0.0000,0.0000,29984.7558,2026-09-11,2026-09-13,PENDING,UTR_888039X
SET_1040,MER_RAZORPAY_01,17239.5000,344.7900,62.0622,2000.5000,0.0000,0.0000,14832.1478,2026-09-12,2026-09-14,PENDING,UTR_888040X
SET_1041,MER_RAZORPAY_01,33854.5000,677.0900,121.8762,0.0000,0.0000,0.0000,33055.5338,2026-09-13,2026-09-15,PENDING,UTR_888041X
SET_1042,MER_RAZORPAY_01,20299.5000,405.9900,73.0782,15000.0000,0.0000,1014.9750,3905.4568,2026-09-14,2026-09-16,PENDING,UTR_888042X
SET_1043,MER_RAZORPAY_01,24340.0000,486.8000,87.6240,0.0000,0.0000,0.0000,23765.5760,2026-09-15,2026-09-17,PENDING,UTR_888043X
SET_1044,MER_RAZORPAY_01,35764.0000,715.2800,128.7504,2680.5000,0.0000,0.0000,32239.4696,2026-09-16,2026-09-18,PENDING,UTR_888044X
SET_1045,MER_RAZORPAY_01,39889.5000,797.7900,143.6022,0.0000,120.0000,0.0000,38828.1078,2026-09-17,2026-09-19,PENDING,UTR_888045X
